,a,first month,first year,last month,last year
124,The Mystery Of Edwin Drood '12,10,2012,3,2013
125,The People in the Picture,4,2011,6,2011
126,The Phantom Of The Opera,1,2008,8,2016
127,The Scottsboro Boys,10,2010,12,2010
128,The Story Of My Life,2,2009,2,2009
129,The Visit 2015,3,2015,6,2015
130,Tuck Everlasting,4,2016,5,2016
131,Waitress,3,2016,8,2016
132,West Side Story,3,2009,1,2011
133,Wicked,1,2008,8,2016
134,Women On The Verge Of A Nervous Breakdown,10,2010,1,2011
135,Wonderland,3,2011,5,2011
136,Xanadu,1,2008,9,2008
